,NAME,上開,不,之,也,了,云云,以,伊,似,但,係指,全,其,即,卻,又,只,可,在,地,如,就,得,惟查,把,按,於,旋,是,有,此,殆,為,無,然,爰,的,等語,系爭,縱,而,致,與,茲,著,被,足資,這,還,那
10048,蘇永欽,,40.0,48,32.0,9.0,,1.0,,9.0,11.0,,7.0,39,13.0,1.0,3.0,,2.0,35.0,15.0,16.0,16.0,10.0,,2.0,,35,,52.0,35,21,,71,11.0,17.0,,198.0,,,2.0,30,5.0,9.0,,1.0,6.0,,16.0,4.0,
10049,蘇永欽,,33.0,72,18.0,12.0,,,,2.0,16.0,,7.0,22,19.0,3.0,3.0,,1.0,31.0,13.0,12.0,15.0,11.0,,1.0,,46,,62.0,43,21,,70,7.0,8.0,,196.0,,2.0,2.0,23,5.0,12.0,,3.0,6.0,,9.0,5.0,1.0
10050,蘇永欽,,35.0,54,19.0,4.0,,1.0,,4.0,8.0,,2.0,30,24.0,4.0,3.0,,5.0,39.0,12.0,17.0,12.0,15.0,,1.0,,41,,80.0,36,24,,55,11.0,6.0,,215.0,,3.0,,27,4.0,22.0,,3.0,3.0,,15.0,3.0,2.0
10051,蘇永欽,,56.0,80,18.0,9.0,,,,2.0,5.0,,6.0,41,17.0,1.0,1.0,,2.0,37.0,18.0,16.0,12.0,19.0,,1.0,,41,,84.0,34,22,,37,7.0,13.0,,183.0,,1.0,1.0,27,3.0,17.0,,1.0,,,15.0,7.0,
10052,蘇永欽,,47.0,60,17.0,13.0,,,,,10.0,,3.0,34,12.0,5.0,1.0,,3.0,49.0,22.0,11.0,10.0,18.0,,3.0,,33,,42.0,38,20,,37,12.0,11.0,,211.0,,4.0,,32,2.0,15.0,,1.0,3.0,,19.0,3.0,
10053,蘇永欽,,28.0,78,25.0,12.0,,2.0,,2.0,9.0,,,34,23.0,2.0,6.0,,2.0,42.0,13.0,13.0,15.0,8.0,,3.0,,27,,64.0,36,19,,63,11.0,10.0,,202.0,,4.0,,22,2.0,13.0,,,3.0,,16.0,6.0,
10054,蘇永欽,,42.0,82,17.0,6.0,,,,3.0,7.0,,5.0,30,17.0,2.0,6.0,,,38.0,14.0,16.0,11.0,18.0,,,,53,,38.0,30,16,,58,14.0,11.0,,200.0,,1.0,,29,2.0,23.0,,1.0,1.0,,12.0,3.0,
10055,蘇永欽,,28.0,60,21.0,8.0,,2.0,,2.0,5.0,,2.0,33,18.0,1.0,5.0,,1.0,54.0,25.0,13.0,16.0,10.0,,,,30,,80.0,46,18,,51,13.0,7.0,,200.0,,1.0,1.0,25,3.0,17.0,,4.0,4.0,,20.0,,
10056,蘇永欽,,34.0,64,20.0,10.0,,,,,10.0,,4.0,32,11.0,2.0,3.0,,4.0,28.0,9.0,17.0,16.0,9.0,,1.0,,37,,82.0,40,23,,59,12.0,6.0,,218.0,,6.0,1.0,26,4.0,14.0,,,6.0,,21.0,3.0,
10057,蘇永欽,,43.0,38,25.0,8.0,,,,1.0,5.0,,6.0,27,21.0,3.0,9.0,,6.0,35.0,15.0,11.0,13.0,9.0,,1.0,,41,,60.0,41,14,,61,11.0,9.0,,177.0,,3.0,2.0,27,,15.0,,2.0,3.0,,11.0,4.0,
10058,蘇永欽,,41.0,78,22.0,12.0,,,,3.0,14.0,,6.0,24,17.0,1.0,4.0,,2.0,35.0,15.0,13.0,15.0,16.0,,1.0,,35,,36.0,46,19,,60,10.0,8.0,,220.0,,3.0,1.0,27,1.0,16.0,,4.0,6.0,,22.0,4.0,
10059,蘇永欽,,27.0,42,20.0,8.0,,,,,5.0,,1.0,23,9.0,2.0,3.0,,2.0,36.0,15.0,12.0,19.0,14.0,,3.0,,40,,74.0,46,14,,52,11.0,15.0,,217.0,,3.0,1.0,21,2.0,12.0,,2.0,5.0,,24.0,2.0,2.0
10060,蘇永欽,,42.0,70,14.0,7.0,,,,2.0,8.0,,5.0,28,23.0,1.0,5.0,,4.0,47.0,12.0,17.0,11.0,22.0,,1.0,,47,,82.0,52,17,,59,9.0,12.0,,199.0,,2.0,1.0,27,3.0,13.0,,4.0,3.0,,21.0,5.0,
10061,蘇永欽,,39.0,48,24.0,5.0,,,,7.0,10.0,,6.0,23,17.0,1.0,3.0,,4.0,29.0,20.0,8.0,5.0,7.0,,1.0,,27,,64.0,48,19,,54,12.0,8.0,,223.0,,3.0,,26,3.0,16.0,,1.0,3.0,,17.0,6.0,1.0
10062,蘇永欽,,24.0,68,24.0,8.0,,,,2.0,10.0,,4.0,33,19.0,3.0,2.0,,3.0,38.0,21.0,18.0,17.0,9.0,,,,41,,66.0,43,22,,59,8.0,12.0,,219.0,,2.0,1.0,25,5.0,14.0,,4.0,3.0,,17.0,4.0,1.0
10063,蘇永欽,,39.0,56,17.0,6.0,,,,2.0,8.0,,7.0,31,12.0,1.0,1.0,,3.0,39.0,21.0,14.0,17.0,15.0,,2.0,,34,,80.0,38,14,,55,8.0,11.0,,230.0,,3.0,,21,5.0,17.0,,1.0,6.0,,19.0,5.0,1.0
10064,蘇永欽,,31.0,72,28.0,8.0,,1.0,,3.0,9.0,,10.0,27,11.0,,1.0,,2.0,33.0,15.0,19.0,14.0,7.0,,4.0,,45,,64.0,39,17,,52,8.0,9.0,,215.0,,3.0,,27,4.0,13.0,,3.0,3.0,,16.0,3.0,3.0
10065,蘇永欽,,42.0,66,11.0,10.0,,1.0,,2.0,13.0,,6.0,31,28.0,3.0,5.0,,1.0,33.0,20.0,12.0,7.0,13.0,,1.0,,49,,78.0,33,12,,69,6.0,6.0,,213.0,,4.0,,30,3.0,12.0,,1.0,5.0,,21.0,1.0,2.0
10066,蘇永欽,,34.0,40,17.0,4.0,,,,2.0,11.0,,2.0,32,14.0,6.0,2.0,,1.0,31.0,20.0,18.0,13.0,12.0,,1.0,,37,,66.0,33,22,,61,3.0,11.0,,210.0,,4.0,1.0,30,1.0,24.0,,2.0,5.0,,17.0,2.0,1.0
10067,蘇永欽,,42.0,64,20.0,7.0,,1.0,,5.0,8.0,,4.0,35,16.0,3.0,3.0,,5.0,46.0,17.0,11.0,12.0,9.0,,2.0,,27,,74.0,42,19,,58,7.0,8.0,,223.0,,3.0,,23,3.0,13.0,,1.0,5.0,,9.0,2.0,1.0
10068,蘇永欽,,42.0,74,11.0,16.0,,,,3.0,9.0,,6.0,39,16.0,2.0,4.0,,4.0,40.0,18.0,20.0,17.0,8.0,,,,55,,58.0,43,16,,75,6.0,10.0,,196.0,,2.0,,23,2.0,15.0,,,5.0,,25.0,6.0,
10069,蘇永欽,,33.0,64,18.0,9.0,,,,2.0,5.0,,10.0,35,18.0,2.0,4.0,,2.0,55.0,21.0,18.0,10.0,11.0,,1.0,,35,,60.0,31,25,,62,7.0,8.0,,205.0,,3.0,1.0,28,4.0,12.0,,2.0,6.0,,19.0,1.0,2.0
10070,蘇永欽,,39.0,70,24.0,6.0,,,,2.0,9.0,,3.0,27,17.0,1.0,1.0,,5.0,38.0,18.0,12.0,19.0,11.0,,3.0,,50,,66.0,36,20,,52,10.0,15.0,,193.0,,2.0,,23,6.0,16.0,,4.0,2.0,,13.0,3.0,1.0
10071,蘇永欽,,38.0,78,29.0,5.0,,2.0,,1.0,11.0,,3.0,28,20.0,1.0,3.0,,4.0,40.0,19.0,10.0,9.0,10.0,,1.0,,41,,68.0,61,20,,61,8.0,12.0,,203.0,,2.0,2.0,27,5.0,18.0,,1.0,4.0,,14.0,6.0,
10072,蘇永欽,,41.0,56,20.0,8.0,,1.0,,4.0,8.0,,2.0,31,12.0,3.0,1.0,,3.0,48.0,18.0,11.0,11.0,12.0,,1.0,,44,,74.0,44,13,,62,5.0,9.0,,194.0,,2.0,,27,4.0,5.0,,,10.0,,13.0,1.0,
10073,蘇永欽,,46.0,56,21.0,3.0,,1.0,,2.0,10.0,,9.0,35,17.0,1.0,4.0,,2.0,40.0,14.0,15.0,11.0,18.0,,1.0,,43,,46.0,44,17,,68,4.0,10.0,,212.0,,2.0,,35,5.0,12.0,,2.0,5.0,,16.0,3.0,
10074,蘇永欽,,45.0,52,16.0,6.0,,1.0,,5.0,12.0,,2.0,28,11.0,1.0,2.0,,2.0,38.0,22.0,14.0,12.0,11.0,,2.0,,41,,72.0,49,22,,54,7.0,14.0,,206.0,,3.0,2.0,28,7.0,18.0,,,3.0,,15.0,4.0,
10075,蘇永欽,,43.0,48,24.0,10.0,,,,1.0,9.0,,10.0,25,19.0,,3.0,,2.0,39.0,15.0,13.0,8.0,19.0,,3.0,,45,,48.0,48,12,,57,13.0,6.0,,225.0,,1.0,,30,4.0,16.0,,4.0,,,18.0,5.0,1.0
10076,蘇永欽,,40.0,82,20.0,7.0,,1.0,,3.0,9.0,,3.0,28,19.0,1.0,4.0,,2.0,32.0,20.0,19.0,13.0,14.0,,2.0,,31,,62.0,49,19,,57,8.0,12.0,,196.0,,,1.0,26,2.0,14.0,,1.0,2.0,,28.0,1.0,
