,余雪明,城仲模,廖義男,彭鳳至,徐璧湖,曾有田,李震山,林子儀,林永謀,林錫堯,楊仁壽,池啟明,王和雄,翁岳生,葉百修,蔡清遊,蘇永欽,許宗力,許玉秀,謝在全,賴英照,陳敏,陳新民,陳春生,黃茂榮
497.0,0.0,0.0,0.03,0.01,0.0,0.0,0.17,0.01,0.0,0.08,0.04,0.02,0.02,0.01,0.22,0.1,0.0,0.01,0.04,0.0,0.0,0.03,0.02,0.04,0.15
498.0,0.03,0.0,0.09,0.02,0.0,0.0,0.13,0.02,0.06,0.03,0.04,0.0,0.0,0.0,0.09,0.2,0.0,0.05,0.07,0.01,0.0,0.06,0.01,0.02,0.07
499.0,0.0,0.0,0.03,0.03,0.0,0.0,0.12,0.03,0.0,0.11,0.02,0.02,0.0,0.0,0.23,0.16,0.0,0.01,0.0,0.03,0.03,0.07,0.0,0.04,0.07
500.0,0.02,0.0,0.08,0.0,0.0,0.0,0.05,0.03,0.03,0.05,0.01,0.01,0.01,0.0,0.07,0.27,0.0,0.01,0.05,0.02,0.05,0.04,0.0,0.06,0.14
501.0,0.0,0.01,0.02,0.0,0.0,0.01,0.07,0.07,0.02,0.08,0.01,0.03,0.0,0.01,0.13,0.18,0.0,0.0,0.0,0.01,0.01,0.09,0.0,0.01,0.24
502.0,0.02,0.01,0.06,0.02,0.0,0.0,0.05,0.0,0.2,0.04,0.08,0.01,0.0,0.0,0.05,0.19,0.01,0.01,0.02,0.03,0.01,0.0,0.03,0.02,0.14
503.0,0.01,0.0,0.04,0.01,0.0,0.01,0.14,0.0,0.02,0.04,0.01,0.06,0.02,0.01,0.14,0.19,0.0,0.04,0.06,0.01,0.0,0.02,0.02,0.04,0.11
504.0,0.0,0.0,0.01,0.02,0.0,0.03,0.18,0.03,0.01,0.1,0.01,0.0,0.0,0.0,0.26,0.1,0.0,0.0,0.03,0.01,0.04,0.02,0.0,0.05,0.1
505.0,0.04,0.0,0.1,0.0,0.0,0.02,0.12,0.04,0.02,0.04,0.0,0.03,0.0,0.0,0.12,0.08,0.0,0.01,0.0,0.0,0.03,0.18,0.01,0.08,0.08
506.0,0.0,0.0,0.04,0.0,0.0,0.0,0.15,0.0,0.05,0.12,0.01,0.0,0.0,0.0,0.09,0.25,0.04,0.01,0.02,0.0,0.0,0.06,0.02,0.06,0.08
507.0,0.01,0.0,0.02,0.04,0.0,0.04,0.22,0.0,0.01,0.1,0.01,0.01,0.0,0.01,0.23,0.04,0.02,0.04,0.0,0.02,0.0,0.05,0.05,0.04,0.04
508.0,0.0,0.0,0.07,0.01,0.0,0.0,0.03,0.05,0.12,0.06,0.01,0.01,0.0,0.0,0.14,0.14,0.0,0.0,0.04,0.01,0.01,0.06,0.0,0.04,0.2
509.0,0.02,0.0,0.02,0.01,0.0,0.0,0.1,0.01,0.08,0.1,0.05,0.01,0.0,0.03,0.08,0.11,0.0,0.01,0.02,0.04,0.03,0.05,0.02,0.03,0.18
510.0,0.0,0.01,0.04,0.0,0.0,0.0,0.09,0.01,0.07,0.06,0.02,0.02,0.01,0.01,0.18,0.17,0.07,0.03,0.06,0.01,0.0,0.0,0.02,0.02,0.1
