,余雪明,城仲模,廖義男,彭鳳至,徐璧湖,曾有田,李震山,林子儀,林永謀,林錫堯,楊仁壽,池啟明,王和雄,翁岳生,葉百修,蔡清遊,蘇永欽,許宗力,許玉秀,謝在全,賴英照,陳敏,陳新民,陳春生,黃茂榮
653.0,0.02,0.01,0.03,0.02,0.0,0.02,0.02,0.01,0.05,0.1,0.0,0.05,0.01,0.02,0.07,0.36,0.03,0.01,0.02,0.01,0.02,0.02,0.0,0.02,0.08
654.0,0.02,0.0,0.06,0.01,0.0,0.0,0.09,0.02,0.01,0.08,0.01,0.0,0.01,0.02,0.14,0.21,0.0,0.02,0.07,0.01,0.03,0.02,0.01,0.02,0.14
655.0,0.01,0.0,0.02,0.0,0.0,0.0,0.1,0.06,0.01,0.13,0.0,0.04,0.03,0.0,0.12,0.2,0.0,0.02,0.02,0.02,0.01,0.0,0.01,0.06,0.14
656.0,0.03,0.0,0.04,0.01,0.01,0.01,0.08,0.05,0.0,0.14,0.01,0.01,0.0,0.0,0.12,0.16,0.01,0.01,0.02,0.01,0.01,0.09,0.0,0.02,0.16
657.0,0.04,0.0,0.15,0.0,0.0,0.0,0.02,0.0,0.05,0.05,0.0,0.03,0.03,0.01,0.14,0.28,0.0,0.0,0.02,0.0,0.02,0.05,0.0,0.02,0.09
658.0,0.02,0.0,0.08,0.0,0.0,0.01,0.04,0.02,0.07,0.09,0.05,0.04,0.02,0.0,0.06,0.13,0.01,0.0,0.04,0.05,0.02,0.0,0.0,0.01,0.24
659.0,0.02,0.0,0.03,0.0,0.0,0.01,0.08,0.05,0.01,0.09,0.03,0.09,0.01,0.01,0.06,0.2,0.0,0.01,0.03,0.01,0.02,0.03,0.0,0.01,0.2
660.0,0.0,0.0,0.03,0.01,0.0,0.0,0.02,0.01,0.01,0.27,0.03,0.04,0.0,0.01,0.14,0.16,0.02,0.0,0.03,0.02,0.02,0.03,0.01,0.02,0.12
661.0,0.0,0.01,0.04,0.0,0.0,0.02,0.07,0.02,0.0,0.03,0.04,0.04,0.02,0.03,0.14,0.18,0.02,0.03,0.03,0.0,0.06,0.12,0.0,0.0,0.1
662.0,0.0,0.0,0.06,0.01,0.0,0.0,0.08,0.0,0.18,0.04,0.0,0.03,0.0,0.01,0.1,0.21,0.0,0.02,0.01,0.01,0.0,0.01,0.0,0.01,0.22
663.0,0.01,0.0,0.05,0.01,0.0,0.0,0.12,0.05,0.0,0.14,0.01,0.03,0.0,0.01,0.07,0.13,0.01,0.01,0.02,0.0,0.0,0.03,0.03,0.02,0.25
664.0,0.02,0.0,0.08,0.01,0.01,0.01,0.04,0.02,0.07,0.14,0.0,0.04,0.02,0.0,0.06,0.18,0.0,0.0,0.01,0.03,0.02,0.01,0.0,0.03,0.2
665.0,0.02,0.01,0.03,0.04,0.0,0.01,0.1,0.02,0.0,0.16,0.0,0.15,0.0,0.0,0.07,0.15,0.0,0.02,0.01,0.01,0.03,0.04,0.01,0.06,0.06
666.0,0.0,0.01,0.04,0.01,0.0,0.0,0.15,0.05,0.03,0.12,0.02,0.01,0.0,0.07,0.16,0.03,0.0,0.01,0.01,0.01,0.0,0.08,0.03,0.03,0.13
667.0,0.0,0.01,0.03,0.02,0.0,0.0,0.14,0.01,0.06,0.23,0.01,0.02,0.0,0.0,0.11,0.16,0.01,0.0,0.01,0.01,0.01,0.02,0.0,0.06,0.08
668.0,0.0,0.01,0.13,0.0,0.0,0.0,0.07,0.02,0.03,0.04,0.05,0.03,0.02,0.0,0.07,0.18,0.0,0.0,0.12,0.01,0.01,0.03,0.0,0.02,0.16
669.0,0.0,0.0,0.01,0.0,0.0,0.0,0.05,0.06,0.0,0.24,0.01,0.08,0.0,0.0,0.14,0.16,0.01,0.0,0.03,0.01,0.0,0.01,0.0,0.03,0.16
670.0,0.02,0.0,0.02,0.0,0.0,0.0,0.03,0.06,0.0,0.1,0.02,0.01,0.0,0.0,0.25,0.15,0.0,0.0,0.05,0.01,0.03,0.06,0.0,0.03,0.16
